Year,C02039V02469,Type of Crop,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes
2008,1,"Total wheat, oats and barley",320.7,7.7,2461.3
2008,11,Total wheat,110.7,9.0,992.8
2008,111,Winter wheat,87.5,9.6,839.9
2008,112,Spring wheat,23.2,6.6,153.0
2008,12,Total oats,22.9,7.6,174.3
2008,121,Winter oats,18.7,7.9,147.9
2008,122,Spring oats,4.2,6.3,26.4
2008,13,Total barley,187.2,6.9,1294.1
2008,131,Winter barley,21.1,8.6,181.8
2008,132,Spring barley,166.0,6.7,1112.4
2008,2,Beans and peas,2.5,4.5,11.1
2008,3,Oilseed rape,5.6,3.6,20.3
2008,4,Potatoes,11.2,30.7,344.9
2009,1,"Total wheat, oats and barley",298.5,6.9,2063.0
2009,11,Total wheat,84.5,8.2,690.1
2009,111,Winter wheat,64.3,8.6,552.7
2009,112,Spring wheat,20.2,6.8,137.4
2009,12,Total oats,20.4,7.1,145.7
2009,121,Winter oats,9.1,7.8,71.3
2009,122,Spring oats,11.3,6.6,74.4
2009,13,Total barley,193.6,6.3,1227.3
2009,131,Winter barley,19.3,8.5,164.2
2009,132,Spring barley,174.3,6.1,1063.1
2009,2,Beans and peas,4.2,5.3,22.2
2009,3,Oilseed rape,6.3,3.7,23.7
2009,4,Potatoes,12.2,27.6,336.1
2010,1,"Total wheat, oats and barley",272.3,7.5,2040.3
2010,11,Total wheat,77.8,8.6,669.2
2010,111,Winter wheat,59.8,8.9,532.0
2010,112,Spring wheat,18.0,7.6,137.2
2010,12,Total oats,19.7,7.5,148.1
2010,121,Winter oats,10.3,7.8,80.5
2010,122,Spring oats,9.4,7.2,67.6
2010,13,Total barley,174.8,7.0,1223.1
2010,131,Winter barley,28.8,8.5,245.1
2010,132,Spring barley,146.0,6.7,977.9
2010,2,Beans and peas,4.6,5.5,25.0
2010,3,Oilseed rape,8.0,3.5,28.1
2010,4,Potatoes,12.2,34.4,419.6
2011,1,"Total wheat, oats and barley",296.2,8.5,2509.4
2011,11,Total wheat,94.2,9.9,929.2
2011,111,Winter wheat,77.7,10.2,792.9
2011,112,Spring wheat,16.4,8.3,136.4
2011,12,Total oats,21.4,7.9,168.1
2011,121,Winter oats,9.0,7.8,70.5
2011,122,Spring oats,12.4,7.9,97.6
2011,13,Total barley,180.6,7.8,1412.0
2011,131,Winter barley,35.9,9.1,326.3
2011,132,Spring barley,144.8,7.5,1085.8
2011,2,Beans and peas,2.9,5.7,16.5
2011,3,Oilseed rape,12.4,4.5,55.9
2011,4,Potatoes,10.4,34.4,356.1
