Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
2008,1,320.7,7.7,2461.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,11,110.7,9.0,992.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,111,87.5,9.6,839.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,112,23.2,6.6,153.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,12,22.9,7.6,174.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,121,18.7,7.9,147.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,122,4.2,6.3,26.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,13,187.2,6.9,1294.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,131,21.1,8.6,181.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,132,166.0,6.7,1112.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,2,2.5,4.5,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,5.6,3.6,20.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,11.2,30.7,344.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,298.5,6.9,2063.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,11,84.5,8.2,690.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,111,64.3,8.6,552.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,112,20.2,6.8,137.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,12,20.4,7.1,145.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,121,9.1,7.8,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,122,11.3,6.6,74.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,13,193.6,6.3,1227.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,131,19.3,8.5,164.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,132,174.3,6.1,1063.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,2,4.2,5.3,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,6.3,3.7,23.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,12.2,27.6,336.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,272.3,7.5,2040.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,11,77.8,8.6,669.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,111,59.8,8.9,532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,112,18.0,7.6,137.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,12,19.7,7.5,148.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,121,10.3,7.8,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,122,9.4,7.2,67.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,13,174.8,7.0,1223.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,131,28.8,8.5,245.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,132,146.0,6.7,977.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,2,4.6,5.5,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,8.0,3.5,28.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
